ENSEMBL,means_sample_effectsample_5705STDY8058280,means_sample_effectsample_5705STDY8058281,means_sample_effectsample_5705STDY8058282,means_sample_effectsample_5705STDY8058283,means_sample_effectsample_5705STDY8058284,means_sample_effectsample_5705STDY8058285
ENSMUSG00000025917,0.026951273903250694,0.007877097465097904,0.017886025831103325,0.015526294708251953,0.018534060567617416,0.04027928039431572
ENSMUSG00000056763,0.1102694571018219,0.09459016472101212,0.10574037581682205,0.09963992238044739,0.13285963237285614,0.06486620008945465
ENSMUSG00000067851,0.07316860556602478,0.07086937874555588,0.07266819477081299,0.04811792075634003,0.047404393553733826,0.05028088763356209
ENSMUSG00000042501,0.004112055990844965,0.009356002323329449,0.01105976291000843,0.013369990512728691,0.022767040878534317,0.0025587815325707197
ENSMUSG00000048960,0.013629433698952198,0.009261589497327805,0.006837537046521902,0.013402435928583145,0.02265772596001625,0.013061558827757835
ENSMUSG00000057715,0.02939538098871708,0.029306655749678612,0.03386198356747627,0.030508574098348618,0.04147312045097351,0.03275156021118164
ENSMUSG00000016918,0.009528398513793945,0.0050239223055541515,0.004722896963357925,0.008723056875169277,0.010378469713032246,0.008868295699357986
ENSMUSG00000025938,0.001509050722233951,0.001054976717568934,0.0005846990970894694,0.001208439702168107,0.0009991457918658853,0.00227818894200027
ENSMUSG00000005886,0.08058185875415802,0.09080101549625397,0.13604573905467987,0.08394987136125565,0.1554827094078064,0.09222166985273361
ENSMUSG00000025935,0.007916498929262161,0.009765205904841423,0.013085533864796162,0.02125970646739006,0.025271207094192505,0.011960011906921864
ENSMUSG00000025937,0.012195848859846592,0.00928445067256689,0.0068321628496050835,0.022293947637081146,0.030391253530979156,0.020885273814201355
ENSMUSG00000025932,0.00507213082164526,0.005028811749070883,0.005201210267841816,0.002302137203514576,0.003631178755313158,0.0020189699716866016
ENSMUSG00000032769,0.0001508427521912381,0.00010796161950565875,0.00010155596100958064,0.0001333468680968508,0.00021496198314707726,9.131920523941517e-05
ENSMUSG00000092083,0.05553063005208969,0.04443183168768883,0.043218012899160385,0.04213974252343178,0.04133744537830353,0.04238960146903992
ENSMUSG00000025925,0.019872093573212624,0.03631718084216118,0.034140098839998245,0.03810036554932594,0.03775443136692047,0.033510372042655945
ENSMUSG00000067795,0.0021944742184132338,0.002569068456068635,0.00282207946293056,0.0021885856986045837,0.0020211776718497276,0.00245450297370553
ENSMUSG00000043716,0.006098110694438219,0.027357427403330803,0.0029473311733454466,0.04706551134586334,0.024483928456902504,0.08150950074195862
ENSMUSG00000025921,0.003567272564396262,0.005402706563472748,0.002714242786169052,0.0055641899816691875,0.005670793820172548,0.008835616521537304
ENSMUSG00000025920,0.05776268616318703,0.061512500047683716,0.0713062435388565,0.03653603792190552,0.03881942853331566,0.04422830045223236
ENSMUSG00000025939,0.02947535179555416,0.021998293697834015,0.04605869948863983,0.0433616116642952,0.06878937035799026,0.07770799100399017
ENSMUSG00000079658,0.007564043626189232,0.016536720097064972,0.0071926661767065525,0.03920748829841614,0.029437841847538948,0.037316493690013885
ENSMUSG00000025940,0.009864912368357182,0.009237416088581085,0.0035612357314676046,0.02218109555542469,0.01259132381528616,0.011216752231121063
ENSMUSG00000101640,0.07670307904481888,0.0774126723408699,0.03608027845621109,0.03898252546787262,0.07555218786001205,0.054871153086423874
ENSMUSG00000042686,0.020469896495342255,0.01310949120670557,0.016491655260324478,0.007416245527565479,0.014932388439774513,0.019058046862483025
ENSMUSG00000025777,0.008386450819671154,0.009439107961952686,0.006613464094698429,0.026824230328202248,0.01410707551985979,0.034957773983478546
ENSMUSG00000085125,0.0009899361757561564,0.0018444570014253259,0.0010735822143033147,0.0021267738193273544,0.0027959297876805067,0.0018887192709371448
ENSMUSG00000025776,0.003654506988823414,0.0043828729540109634,0.002373981522396207,0.005536873359233141,0.0032698737923055887,0.00231801881454885
ENSMUSG00000099895,0.0185087937861681,0.008576523512601852,0.003584330203011632,0.032614514231681824,0.06206950172781944,0.026034414768218994
ENSMUSG00000042596,0.0008370241848751903,0.0011852082097902894,0.001075012027285993,0.0010047609684988856,0.004250666126608849,0.0012565975775942206
ENSMUSG00000025927,1.7954780560103245e-05,5.709244578611106e-05,3.93459340557456e-05,5.481167318066582e-05,3.814324372797273e-05,6.676119664916769e-05
ENSMUSG00000043760,0.0045005022548139095,0.004922587424516678,0.007013773545622826,0.0052451747469604015,0.019196318462491035,0.001203297870233655
ENSMUSG00000025931,0.026728540658950806,0.012941287830471992,0.01187670323997736,0.027685152366757393,0.03758090361952782,0.015066011808812618
ENSMUSG00000025933,0.005766674876213074,0.004837180487811565,0.001954285893589258,0.018777955323457718,0.005799476057291031,0.022095151245594025
ENSMUSG00000025934,0.005534566007554531,0.004725692793726921,0.004047179128974676,0.0037724722642451525,0.005423101596534252,0.0019188318401575089
ENSMUSG00000028033,0.13101455569267273,0.10580069571733475,0.0879468098282814,0.10180164128541946,0.10410365462303162,0.10243856906890869
ENSMUSG00000041670,0.12193619459867477,0.1015169769525528,0.08699002861976624,0.08397499471902847,0.07889179140329361,0.08632557839155197
ENSMUSG00000026158,0.014694280922412872,0.016426419839262962,0.008924656547605991,0.03276797756552696,0.024522867053747177,0.04668796807527542
ENSMUSG00000099503,0.0004510910948738456,0.00029037907370366156,0.0004680180863942951,0.00034185367985628545,0.00018960851593874395,0.00029470864683389664
ENSMUSG00000026156,0.02110760100185871,0.02091135084629059,0.012912692502140999,0.013226612471044064,0.015530744567513466,0.014477853663265705
ENSMUSG00000026155,0.029482001438736916,0.05669250711798668,0.04747139662504196,0.044695187360048294,0.05150028318166733,0.055752627551555634
ENSMUSG00000026154,0.0028967612888664007,0.00418321555480361,0.0014701534528285265,0.014408213086426258,0.002443150617182255,0.019708305597305298
ENSMUSG00000026153,0.027238227427005768,0.029408540576696396,0.05295602232217789,0.06417011469602585,0.0674418956041336,0.04045852646231651
ENSMUSG00000026141,0.00862903892993927,0.007854383438825607,0.005716690327972174,0.008117719553411007,0.007741647772490978,0.006341555155813694
ENSMUSG00000073725,0.03295140713453293,0.05672532692551613,0.046037301421165466,0.0467175729572773,0.075180284678936,0.061008766293525696
ENSMUSG00000033569,0.3518255949020386,0.29615163803100586,0.35073062777519226,0.24981482326984406,0.28439027070999146,0.2975040376186371
ENSMUSG00000048874,0.08580143749713898,0.08994446694850922,0.1049252524971962,0.07775973528623581,0.0586581714451313,0.07269243896007538
ENSMUSG00000026064,0.009498906321823597,0.0055771078914403915,0.01359446719288826,0.013684982433915138,0.00952051393687725,0.010325022973120213
ENSMUSG00000026058,0.037275660783052444,0.03627053275704384,0.03618286922574043,0.03264855593442917,0.0385306254029274,0.031180577352643013
ENSMUSG00000026134,0.016403814777731895,0.01766418106853962,0.016014639288187027,0.007872077636420727,0.0213614609092474,0.005016492214053869
ENSMUSG00000004768,0.007214570418000221,0.00407346012070775,0.006138171534985304,0.013762049376964569,0.016460824757814407,0.017075764015316963
ENSMUSG00000042215,0.002591030905023217,0.003933134488761425,0.0019338474376127124,0.0041665611788630486,0.006420466583222151,0.0035361347254365683
ENSMUSG00000042197,0.029636429622769356,0.03488927334547043,0.02024742029607296,0.037004392594099045,0.03311297297477722,0.018367480486631393
